Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Sanity_GBS,Chrome 102.0.5005.63,,,2022-06-06 15:29:19,2022-06-06 15:39:54,10m - 34.551s,PASSED
,,,,,,,
Test Cases/Sanity/GBS/Create AF Project,Chrome 102.0.5005.63,Create AF Project,,2022-06-06 15:29:20,2022-06-06 15:32:35,3m - 15.116s,PASSED
"openBrowser("""")",Chrome 102.0.5005.63,,,2022-06-06 15:29:20,2022-06-06 15:29:23,2.837s,PASSED
maximizeWindow(),Chrome 102.0.5005.63,,,2022-06-06 15:29:23,2022-06-06 15:29:23,0.164s,PASSED
navigateToUrl(URL),Chrome 102.0.5005.63,,,2022-06-06 15:29:23,2022-06-06 15:29:26,2.468s,PASSED
"setText(findTestObject(""Page_It-Right Platform/Username""), username)",Chrome 102.0.5005.63,,,2022-06-06 15:29:26,2022-06-06 15:29:27,0.926s,PASSED
"setEncryptedText(findTestObject(""Page_It-Right Platform/password""), pwd)",Chrome 102.0.5005.63,,,2022-06-06 15:29:27,2022-06-06 15:29:27,0.526s,PASSED
"click(findTestObject(""Page_It-Right Platform/button_Sign in""))",Chrome 102.0.5005.63,,,2022-06-06 15:29:27,2022-06-06 15:29:30,2.961s,PASSED
"click(findTestObject(""Object Repository/Page_It-Right Platform/span_WelcomeToggler""))",Chrome 102.0.5005.63,,,2022-06-06 15:29:30,2022-06-06 15:29:31,0.523s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_It-Right Platform/div_WelcomeMenu""), 0)",Chrome 102.0.5005.63,,,2022-06-06 15:29:31,2022-06-06 15:29:31,0.646s,PASSED
"scrollToElement(findTestObject(""Page_It-Right Platform/span_GBS""), 0)",Chrome 102.0.5005.63,,,2022-06-06 15:29:31,2022-06-06 15:29:32,0.366s,PASSED
"waitForElementClickable(findTestObject(""Page_It-Right Platform/span_GBS""), 0)",Chrome 102.0.5005.63,,,2022-06-06 15:29:32,2022-06-06 15:29:32,0.502s,PASSED
"click(findTestObject(""Page_It-Right Platform/span_GBS""))",Chrome 102.0.5005.63,,,2022-06-06 15:29:32,2022-06-06 15:29:37,4.970s,PASSED
delay(2),Chrome 102.0.5005.63,,,2022-06-06 15:29:37,2022-06-06 15:29:39,2.035s,PASSED
"click(findTestObject(""Page_DIR/button_Technical Sourcing""))",Chrome 102.0.5005.63,,,2022-06-06 15:29:39,2022-06-06 15:29:43,3.533s,PASSED
"click(findTestObject(""Page_DIR/span_Flex_Organization""))",Chrome 102.0.5005.63,,,2022-06-06 15:29:43,2022-06-06 15:29:43,0.606s,PASSED
"selectOptionByValue(findTestObject(""Page_DIR/select_Organization""), ""FLEX"", true)",Chrome 102.0.5005.63,,,2022-06-06 15:29:43,2022-06-06 15:29:50,7.157s,PASSED
delay(2),Chrome 102.0.5005.63,,,2022-06-06 15:29:50,2022-06-06 15:29:52,2.011s,PASSED
"verifyElementPresent(findTestObject(""Page_DIR/div_To Create Project   Drop GBS project""), 0)",Chrome 102.0.5005.63,,,2022-06-06 15:29:52,2022-06-06 15:29:53,0.383s,PASSED
"uploadFileWithDragAndDrop(findTestObject(""Page_DIR/div_To Create Project   Drop GBS project""), GBSAF_File)",Chrome 102.0.5005.63,,,2022-06-06 15:29:53,2022-06-06 15:29:53,0.477s,PASSED
"verifyElementPresent(findTestObject(""Page_DIR/div_Choose Analysis Type""), 3)",Chrome 102.0.5005.63,,,2022-06-06 15:29:53,2022-06-06 15:29:54,0.718s,PASSED
"click(findTestObject(""Page_DIR/button_OK""))",Chrome 102.0.5005.63,,,2022-06-06 15:29:54,2022-06-06 15:29:54,0.399s,PASSED
delay(2),Chrome 102.0.5005.63,,,2022-06-06 15:29:54,2022-06-06 15:29:56,2.018s,PASSED
"verifyElementPresent(findTestObject(""Page_DIR/div_Create Project""), 3)",Chrome 102.0.5005.63,,,2022-06-06 15:29:56,2022-06-06 15:29:58,1.714s,PASSED
"click(findTestObject(""Page_DIR/input__dueDate""))",Chrome 102.0.5005.63,,,2022-06-06 15:29:58,2022-06-06 15:29:59,0.424s,PASSED
delay(1),Chrome 102.0.5005.63,,,2022-06-06 15:29:59,2022-06-06 15:30:00,1.015s,PASSED
"click(findTestObject(""Page_DIR/span_Month""))",Chrome 102.0.5005.63,,,2022-06-06 15:30:00,2022-06-06 15:30:00,0.425s,PASSED
"scrollToElement(findTestObject(""Page_DIR/span_MonthDecember""), 1, STOP_ON_FAILURE)",Chrome 102.0.5005.63,,,2022-06-06 15:30:00,2022-06-06 15:30:00,0.397s,PASSED
"click(findTestObject(""Page_DIR/span_MonthDecember""))",Chrome 102.0.5005.63,,,2022-06-06 15:30:00,2022-06-06 15:30:01,0.369s,PASSED
delay(1),Chrome 102.0.5005.63,,,2022-06-06 15:30:01,2022-06-06 15:30:02,1.012s,PASSED
"click(findTestObject(""Page_DIR/span_Year""))",Chrome 102.0.5005.63,,,2022-06-06 15:30:02,2022-06-06 15:30:02,0.428s,PASSED
delay(1),Chrome 102.0.5005.63,,,2022-06-06 15:30:02,2022-06-06 15:30:03,1.007s,PASSED
"scrollToElement(findTestObject(""Page_DIR/span_Year2024""), 2)",Chrome 102.0.5005.63,,,2022-06-06 15:30:03,2022-06-06 15:30:04,0.395s,PASSED
"click(findTestObject(""Page_DIR/span_Year2024""))",Chrome 102.0.5005.63,,,2022-06-06 15:30:04,2022-06-06 15:30:04,0.429s,PASSED
delay(1),Chrome 102.0.5005.63,,,2022-06-06 15:30:04,2022-06-06 15:30:05,1.019s,PASSED
"click(findTestObject(""Page_DIR/div_Date31""))",Chrome 102.0.5005.63,,,2022-06-06 15:30:05,2022-06-06 15:30:06,0.472s,PASSED
delay(2),Chrome 102.0.5005.63,,,2022-06-06 15:30:06,2022-06-06 15:30:08,2.017s,PASSED
"setText(findTestObject(""Page_DIR/textarea_Comments_comments""), ""Test"")",Chrome 102.0.5005.63,,,2022-06-06 15:30:08,2022-06-06 15:31:11,1m - 3.164s,PASSED
