Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Sanity_NBQ,Chrome 102.0.5005.62,,,2022-06-21 15:38:19,2022-06-21 15:41:22,3m - 2.208s,FAILED
,,,,,,,
Test Cases/All Test Cases/NBQ/Enter MPN,Chrome 102.0.5005.62,,,2022-06-21 15:38:20,2022-06-21 15:39:24,1m - 4.305s,PASSED
"openBrowser("""")",Chrome 102.0.5005.62,,,2022-06-21 15:38:21,2022-06-21 15:38:26,5.286s,PASSED
maximizeWindow(),Chrome 102.0.5005.62,,,2022-06-21 15:38:26,2022-06-21 15:38:26,0.378s,PASSED
navigateToUrl(URL),Chrome 102.0.5005.62,,,2022-06-21 15:38:26,2022-06-21 15:38:30,3.321s,PASSED
"setText(findTestObject(""Page_LoginPage_It-Right/input_Sign in_username""), Username)",Chrome 102.0.5005.62,,,2022-06-21 15:38:30,2022-06-21 15:38:31,1.231s,PASSED
"setEncryptedText(findTestObject(""Page_LoginPage_It-Right/input_Sign in_password""), Password)",Chrome 102.0.5005.62,,,2022-06-21 15:38:31,2022-06-21 15:38:32,0.592s,PASSED
"click(findTestObject(""Page_LoginPage_It-Right/button_Sign in""))",Chrome 102.0.5005.62,,,2022-06-21 15:38:32,2022-06-21 15:38:35,3.083s,PASSED
"click(findTestObject(""Page_LoginPage_It-Right/Three line icon""))",Chrome 102.0.5005.62,,,2022-06-21 15:38:35,2022-06-21 15:38:35,0.544s,PASSED
"click(findTestObject(""Page_LoginPage_It-Right/span_New Business Quoting""))",Chrome 102.0.5005.62,,,2022-06-21 15:38:35,2022-06-21 15:38:42,6.603s,PASSED
"click(findTestObject(""Object Repository/Page_Price It Right/button_Enter MPNs""))",Chrome 102.0.5005.62,,,2022-06-21 15:38:42,2022-06-21 15:38:43,1.588s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_Price It Right/select_Select typeNew project quote  pre qu_b32c8e""), ""TEST_OR_TRAINING"", true)",Chrome 102.0.5005.62,,,2022-06-21 15:38:43,2022-06-21 15:38:45,1.861s,PASSED
"click(findTestObject(""Object Repository/Page_Price It Right/button_Apply""))",Chrome 102.0.5005.62,,,2022-06-21 15:38:45,2022-06-21 15:38:46,0.559s,PASSED
"setText(findTestObject(""Object Repository/Page_Price It Right/input_API Price Check_text""), ""DMG1012T|VZH220M1HTR0606K|LQH3NPN2R2MME|DMG1012T-7"")",Chrome 102.0.5005.62,,,2022-06-21 15:38:46,2022-06-21 15:38:53,6.731s,PASSED
"click(findTestObject(""Object Repository/Page_Price It Right/button_Run by MPN""))",Chrome 102.0.5005.62,,,2022-06-21 15:38:53,2022-06-21 15:39:07,14.482s,PASSED
delay(3),Chrome 102.0.5005.62,,,2022-06-21 15:39:07,2022-06-21 15:39:10,3.186s,PASSED
"click(findTestObject(""Page_PIR/Page_PIR_NBQ/Export_button""))",Chrome 102.0.5005.62,,,2022-06-21 15:39:10,2022-06-21 15:39:20,9.972s,PASSED
"click(findTestObject(""Page_PIR/Page_PIR_NBQ/a_All""))",Chrome 102.0.5005.62,,,2022-06-21 15:39:20,2022-06-21 15:39:22,1.905s,PASSED
"scrollToElement(findTestObject(""Page_PIR/Page_PIR_NBQ/Add to Compare_button""), 0)",Chrome 102.0.5005.62,,,2022-06-21 15:39:22,2022-06-21 15:39:23,0.773s,PASSED
closeBrowser(),Chrome 102.0.5005.62,,,2022-06-21 15:39:23,2022-06-21 15:39:24,1.361s,PASSED
,,,,,,,
Test Cases/All Test Cases/NBQ/NBQ Manual Load,Chrome 102.0.5005.62,,,2022-06-21 15:39:24,2022-06-21 15:39:46,21.478s,FAILED
"openBrowser("""")",Chrome 102.0.5005.62,,,2022-06-21 15:39:25,2022-06-21 15:39:27,1.750s,PASSED
navigateToUrl(URL),Chrome 102.0.5005.62,,,2022-06-21 15:39:27,2022-06-21 15:39:30,3.472s,PASSED
"setText(findTestObject(""Page_LoginPage_It-Right/input_Sign in_username""), Username)",Chrome 102.0.5005.62,,,2022-06-21 15:39:30,2022-06-21 15:39:31,1.053s,PASSED
"setEncryptedText(findTestObject(""Page_LoginPage_It-Right/input_Sign in_password""), Password)",Chrome 102.0.5005.62,,,2022-06-21 15:39:31,2022-06-21 15:39:32,0.667s,PASSED
"click(findTestObject(""Page_LoginPage_It-Right/button_Sign in""))",Chrome 102.0.5005.62,,,2022-06-21 15:39:32,2022-06-21 15:39:36,3.530s,PASSED
maximizeWindow(),Chrome 102.0.5005.62,,,2022-06-21 15:39:36,2022-06-21 15:39:36,0.176s,PASSED
"click(findTestObject(""Page_LoginPage_It-Right/Three line icon""))",Chrome 102.0.5005.62,,,2022-06-21 15:39:36,2022-06-21 15:39:36,0.611s,PASSED
"click(findTestObject(""Page_LoginPage_It-Right/span_New Business Quoting""))",Chrome 102.0.5005.62,,,2022-06-21 15:39:36,2022-06-21 15:39:45,8.067s,PASSED
"uploadFile(findTestObject(""Page_PIR/Page_PIR_NBQ/UploadFile_PIR""), FileLocation)",Chrome 102.0.5005.62,,,2022-06-21 15:39:45,2022-06-21 15:39:46,1.214s,FAILED
,,,,,,,
Test Cases/All Test Cases/NBQ/QW Restore project,Chrome 102.0.5005.62,,,2022-06-21 15:39:46,2022-06-21 15:40:06,20.161s,FAILED
"openBrowser("""")",Chrome 102.0.5005.62,,,2022-06-21 15:39:47,2022-06-21 15:39:49,2.544s,PASSED
navigateToUrl(URL),Chrome 102.0.5005.62,,,2022-06-21 15:39:49,2022-06-21 15:39:52,3.078s,PASSED
"setText(findTestObject(""Page_LoginPage_It-Right/input_Sign in_username""), Username)",Chrome 102.0.5005.62,,,2022-06-21 15:39:52,2022-06-21 15:39:54,1.059s,PASSED
"setEncryptedText(findTestObject(""Page_LoginPage_It-Right/input_Sign in_password""), Password)",Chrome 102.0.5005.62,,,2022-06-21 15:39:54,2022-06-21 15:39:54,0.654s,PASSED
"click(findTestObject(""Page_LoginPage_It-Right/button_Sign in""))",Chrome 102.0.5005.62,,,2022-06-21 15:39:54,2022-06-21 15:39:57,3.274s,PASSED
maximizeWindow(),Chrome 102.0.5005.62,,,2022-06-21 15:39:57,2022-06-21 15:39:58,0.227s,PASSED
"click(findTestObject(""Page_LoginPage_It-Right/Three line icon""))",Chrome 102.0.5005.62,,,2022-06-21 15:39:58,2022-06-21 15:39:58,0.692s,PASSED
"scrollToElement(findTestObject(""Object Repository/Page_LoginPage_It-Right/span_New Business Quoting""), 0)",Chrome 102.0.5005.62,,,2022-06-21 15:39:58,2022-06-21 15:39:59,0.725s,PASSED
"click(findTestObject(""Object Repository/Page_PIR/Page_PIR_NBQ/span_New Business Quoting""))",Chrome 102.0.5005.62,,,2022-06-21 15:39:59,2022-06-21 15:40:04,5.041s,PASSED
"click(findTestObject(""Object Repository/Page_PIR/Page_PIR_NBQ/button_QWProject_qw-caret""))",Chrome 102.0.5005.62,,,2022-06-21 15:40:04,2022-06-21 15:40:06,1.747s,FAILED
,,,,,,,
Test Cases/All Test Cases/NBQ/QW Project Upload,Chrome 102.0.5005.62,,,2022-06-21 15:40:06,2022-06-21 15:40:38,31.972s,FAILED
"openBrowser("""")",Chrome 102.0.5005.62,,,2022-06-21 15:40:07,2022-06-21 15:40:10,2.746s,PASSED
navigateToUrl(URL),Chrome 102.0.5005.62,,,2022-06-21 15:40:10,2022-06-21 15:40:13,3.113s,PASSED
"setText(findTestObject(""Page_LoginPage_It-Right/input_Sign in_username""), Username)",Chrome 102.0.5005.62,,,2022-06-21 15:40:13,2022-06-21 15:40:15,2.022s,PASSED
"setEncryptedText(findTestObject(""Page_LoginPage_It-Right/input_Sign in_password""), Password)",Chrome 102.0.5005.62,,,2022-06-21 15:40:15,2022-06-21 15:40:16,0.681s,PASSED
"click(findTestObject(""Page_LoginPage_It-Right/button_Sign in""))",Chrome 102.0.5005.62,,,2022-06-21 15:40:16,2022-06-21 15:40:20,4.247s,PASSED
maximizeWindow(),Chrome 102.0.5005.62,,,2022-06-21 15:40:20,2022-06-21 15:40:20,0.202s,PASSED
"click(findTestObject(""Page_LoginPage_It-Right/Three line icon""))",Chrome 102.0.5005.62,,,2022-06-21 15:40:20,2022-06-21 15:40:21,0.615s,PASSED
"scrollToElement(findTestObject(""Object Repository/Page_LoginPage_It-Right/span_New Business Quoting""), 2)",Chrome 102.0.5005.62,,,2022-06-21 15:40:21,2022-06-21 15:40:22,0.740s,PASSED
"click(findTestObject(""Page_LoginPage_It-Right/span_New Business Quoting""))",Chrome 102.0.5005.62,,,2022-06-21 15:40:22,2022-06-21 15:40:31,9.374s,PASSED
"click(findTestObject(""Page_PIR/Page_PIR_NBQ/button_QWProject""))",Chrome 102.0.5005.62,,,2022-06-21 15:40:31,2022-06-21 15:40:32,1.292s,PASSED
"setText(findTestObject(""Page_PIR/Page_PIR_NBQ/input_Restore previous parameters_search-qw-proj""), ""three"")",Chrome 102.0.5005.62,,,2022-06-21 15:40:32,2022-06-21 15:40:37,4.964s,PASSED
"click(findTestObject(""Page_PIR/Page_PIR_NBQ/button_TEST_PIR_THREE PARTS WITH DNP""))",Chrome 102.0.5005.62,,,2022-06-21 15:40:37,2022-06-21 15:40:38,0.707s,FAILED
,,,,,,,
Test Cases/All Test Cases/NBQ/QW Export Check,Chrome 102.0.5005.62,,,2022-06-21 15:40:38,2022-06-21 15:41:00,21.923s,FAILED
"openBrowser("""")",Chrome 102.0.5005.62,,,2022-06-21 15:40:39,2022-06-21 15:40:42,2.502s,PASSED
navigateToUrl(URL),Chrome 102.0.5005.62,,,2022-06-21 15:40:42,2022-06-21 15:40:46,4.127s,PASSED
"setText(findTestObject(""Page_LoginPage_It-Right/input_Sign in_username""), Username)",Chrome 102.0.5005.62,,,2022-06-21 15:40:46,2022-06-21 15:40:47,1.239s,PASSED
"setEncryptedText(findTestObject(""Page_LoginPage_It-Right/input_Sign in_password""), Password)",Chrome 102.0.5005.62,,,2022-06-21 15:40:47,2022-06-21 15:40:48,0.667s,PASSED
"click(findTestObject(""Page_LoginPage_It-Right/button_Sign in""))",Chrome 102.0.5005.62,,,2022-06-21 15:40:48,2022-06-21 15:40:51,3.249s,PASSED
maximizeWindow(),Chrome 102.0.5005.62,,,2022-06-21 15:40:51,2022-06-21 15:40:51,0.272s,PASSED
"click(findTestObject(""Page_LoginPage_It-Right/Three line icon""))",Chrome 102.0.5005.62,,,2022-06-21 15:40:51,2022-06-21 15:40:52,0.669s,PASSED
"scrollToElement(findTestObject(""Object Repository/Page_LoginPage_It-Right/span_New Business Quoting""), 0)",Chrome 102.0.5005.62,,,2022-06-21 15:40:52,2022-06-21 15:40:53,0.855s,PASSED
"click(findTestObject(""Object Repository/Page_PIR/Page_PIR_NBQ/span_New Business Quoting""))",Chrome 102.0.5005.62,,,2022-06-21 15:40:53,2022-06-21 15:40:58,5.830s,PASSED
"click(findTestObject(""Object Repository/Page_PIR/Page_PIR_NBQ/button_QWProject_qw-caret""))",Chrome 102.0.5005.62,,,2022-06-21 15:40:58,2022-06-21 15:41:00,1.399s,FAILED
,,,,,,,
Test Cases/All Test Cases/NBQ/QW Restore project,Chrome 102.0.5005.62,,,2022-06-21 15:41:00,2022-06-21 15:41:22,21.758s,FAILED
"openBrowser("""")",Chrome 102.0.5005.62,,,2022-06-21 15:41:00,2022-06-21 15:41:03,2.952s,PASSED
navigateToUrl(URL),Chrome 102.0.5005.62,,,2022-06-21 15:41:03,2022-06-21 15:41:06,3.203s,PASSED
"setText(findTestObject(""Page_LoginPage_It-Right/input_Sign in_username""), Username)",Chrome 102.0.5005.62,,,2022-06-21 15:41:06,2022-06-21 15:41:07,1.020s,PASSED
"setEncryptedText(findTestObject(""Page_LoginPage_It-Right/input_Sign in_password""), Password)",Chrome 102.0.5005.62,,,2022-06-21 15:41:07,2022-06-21 15:41:07,0.472s,PASSED
"click(findTestObject(""Page_LoginPage_It-Right/button_Sign in""))",Chrome 102.0.5005.62,,,2022-06-21 15:41:07,2022-06-21 15:41:10,2.999s,PASSED
maximizeWindow(),Chrome 102.0.5005.62,,,2022-06-21 15:41:10,2022-06-21 15:41:11,0.199s,PASSED
"click(findTestObject(""Page_LoginPage_It-Right/Three line icon""))",Chrome 102.0.5005.62,,,2022-06-21 15:41:11,2022-06-21 15:41:11,0.606s,PASSED
"scrollToElement(findTestObject(""Object Repository/Page_LoginPage_It-Right/span_New Business Quoting""), 0)",Chrome 102.0.5005.62,,,2022-06-21 15:41:11,2022-06-21 15:41:12,0.666s,PASSED
"click(findTestObject(""Object Repository/Page_PIR/Page_PIR_NBQ/span_New Business Quoting""))",Chrome 102.0.5005.62,,,2022-06-21 15:41:12,2022-06-21 15:41:20,8.498s,PASSED
"click(findTestObject(""Object Repository/Page_PIR/Page_PIR_NBQ/button_QWProject_qw-caret""))",Chrome 102.0.5005.62,,,2022-06-21 15:41:20,2022-06-21 15:41:22,1.122s,FAILED
