Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Sanity_GBS_SF_CIR,Chrome 102.0.5005.115,,,2022-06-27 11:22:00,2022-06-27 11:51:58,29m - 57.834s,FAILED
,,,,,,,
Test Cases/Sanity/GBS/Create AF Project,Chrome 102.0.5005.115,Create AF Project,,2022-06-27 11:22:01,2022-06-27 11:22:38,37.343s,FAILED
"openBrowser("""")",Chrome 102.0.5005.115,,,2022-06-27 11:22:03,2022-06-27 11:22:07,4.621s,PASSED
maximizeWindow(),Chrome 102.0.5005.115,,,2022-06-27 11:22:07,2022-06-27 11:22:07,0.220s,PASSED
navigateToUrl(URL),Chrome 102.0.5005.115,,,2022-06-27 11:22:07,2022-06-27 11:22:11,3.640s,PASSED
"setText(findTestObject(""Page_It-Right Platform_GBS/Username""), username)",Chrome 102.0.5005.115,,,2022-06-27 11:22:11,2022-06-27 11:22:12,1.173s,PASSED
"setEncryptedText(findTestObject(""Page_It-Right Platform_GBS/password""), pwd)",Chrome 102.0.5005.115,,,2022-06-27 11:22:12,2022-06-27 11:22:13,0.905s,PASSED
"click(findTestObject(""Page_It-Right Platform_GBS/button_Sign in""))",Chrome 102.0.5005.115,,,2022-06-27 11:22:13,2022-06-27 11:22:16,2.867s,PASSED
"click(findTestObject(""Object Repository/Page_It-Right Platform_GBS/span_WelcomeToggler""))",Chrome 102.0.5005.115,,,2022-06-27 11:22:16,2022-06-27 11:22:17,0.682s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_It-Right Platform_GBS/div_WelcomeMenu""), 0)",Chrome 102.0.5005.115,,,2022-06-27 11:22:17,2022-06-27 11:22:17,0.663s,PASSED
"scrollToElement(findTestObject(""Page_It-Right Platform_GBS/span_GBS""), 0)",Chrome 102.0.5005.115,,,2022-06-27 11:22:17,2022-06-27 11:22:18,0.573s,PASSED
"waitForElementClickable(findTestObject(""Page_It-Right Platform_GBS/span_GBS""), 0)",Chrome 102.0.5005.115,,,2022-06-27 11:22:18,2022-06-27 11:22:19,0.827s,PASSED
"click(findTestObject(""Page_It-Right Platform_GBS/span_GBS""))",Chrome 102.0.5005.115,,,2022-06-27 11:22:19,2022-06-27 11:22:25,6.085s,PASSED
delay(2),Chrome 102.0.5005.115,,,2022-06-27 11:22:25,2022-06-27 11:22:27,2.084s,PASSED
"click(findTestObject(""Page_DIR_GBS/GBS Project/button_Technical Sourcing""))",Chrome 102.0.5005.115,,,2022-06-27 11:22:27,2022-06-27 11:22:28,0.676s,PASSED
"click(findTestObject(""Page_DIR_GBS/GBS Project/span_Flex_Organization""))",Chrome 102.0.5005.115,,,2022-06-27 11:22:28,2022-06-27 11:22:28,0.633s,PASSED
"selectOptionByValue(findTestObject(""Page_DIR_GBS/GBS Project/select_Organization""), ""FLEX"", true)",Chrome 102.0.5005.115,,,2022-06-27 11:22:28,2022-06-27 11:22:34,6.211s,PASSED
delay(2),Chrome 102.0.5005.115,,,2022-06-27 11:22:34,2022-06-27 11:22:36,2.010s,PASSED
"verifyElementPresent(findTestObject(""Page_DIR_GBS/GBS Project/div_To Create Project   Drop GBS project""), 0)",Chrome 102.0.5005.115,,,2022-06-27 11:22:36,2022-06-27 11:22:37,0.568s,PASSED
"uploadFileWithDragAndDrop(findTestObject(""Page_DIR_GBS/GBS Project/div_To Create Project   Drop GBS project""), GBSAF_File)",Chrome 102.0.5005.115,,,2022-06-27 11:22:37,2022-06-27 11:22:38,1.161s,FAILED
,,,,,,,
Test Cases/Sanity/GBS/AF_Review_Verify,Chrome 102.0.5005.115,,,2022-06-27 11:22:38,2022-06-27 11:23:46,1m - 7.609s,FAILED
"openBrowser("""")",Chrome 102.0.5005.115,,,2022-06-27 11:22:39,2022-06-27 11:22:42,2.635s,PASSED
maximizeWindow(),Chrome 102.0.5005.115,,,2022-06-27 11:22:42,2022-06-27 11:22:42,0.201s,PASSED
navigateToUrl(URL),Chrome 102.0.5005.115,,,2022-06-27 11:22:42,2022-06-27 11:22:45,2.662s,PASSED
"setText(findTestObject(""Page_It-Right Platform_GBS/Username""), username)",Chrome 102.0.5005.115,,,2022-06-27 11:22:45,2022-06-27 11:22:46,1.023s,PASSED
"setEncryptedText(findTestObject(""Page_It-Right Platform_GBS/password""), pwd)",Chrome 102.0.5005.115,,,2022-06-27 11:22:46,2022-06-27 11:22:46,0.620s,PASSED
"click(findTestObject(""Page_It-Right Platform_GBS/button_Sign in""))",Chrome 102.0.5005.115,,,2022-06-27 11:22:46,2022-06-27 11:22:49,2.684s,PASSED
"click(findTestObject(""Object Repository/Page_It-Right Platform_GBS/span_WelcomeToggler""))",Chrome 102.0.5005.115,,,2022-06-27 11:22:49,2022-06-27 11:22:50,0.703s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_It-Right Platform_GBS/div_WelcomeMenu""), 0)",Chrome 102.0.5005.115,,,2022-06-27 11:22:50,2022-06-27 11:22:50,0.597s,PASSED
"click(findTestObject(""Object Repository/Page_It-Right Platform_GBS/span_GBS""))",Chrome 102.0.5005.115,,,2022-06-27 11:22:50,2022-06-27 11:22:56,5.129s,PASSED
delay(2),Chrome 102.0.5005.115,,,2022-06-27 11:22:56,2022-06-27 11:22:58,2.015s,PASSED
"click(findTestObject(""Page_DIR_GBS/GBS Project/button_Technical Sourcing""))",Chrome 102.0.5005.115,,,2022-06-27 11:22:58,2022-06-27 11:22:58,0.948s,PASSED
"click(findTestObject(""Page_DIR_GBS/GBS Project/span_Flex_Organization""))",Chrome 102.0.5005.115,,,2022-06-27 11:22:58,2022-06-27 11:22:59,0.628s,PASSED
"selectOptionByValue(findTestObject(""Page_DIR_GBS/GBS Project/select_Organization""), ""FLEX"", true)",Chrome 102.0.5005.115,,,2022-06-27 11:22:59,2022-06-27 11:23:07,7.747s,PASSED
delay(2),Chrome 102.0.5005.115,,,2022-06-27 11:23:07,2022-06-27 11:23:09,2.019s,PASSED
"scrollToElement(findTestObject(""Page_DIR_GBS/GBS Project/i_Project-folder-open""), 2)",Chrome 102.0.5005.115,,,2022-06-27 11:23:09,2022-06-27 11:23:46,36.883s,FAILED
,,,,,,,
Test Cases/Checklist/GBS/AF_Review_Save,Chrome 102.0.5005.115,,,2022-06-27 11:23:46,2022-06-27 11:24:56,1m - 10.057s,FAILED
"openBrowser("""")",Chrome 102.0.5005.115,,,2022-06-27 11:23:47,2022-06-27 11:23:50,2.596s,PASSED
maximizeWindow(),Chrome 102.0.5005.115,,,2022-06-27 11:23:50,2022-06-27 11:23:50,0.164s,PASSED
navigateToUrl(URL),Chrome 102.0.5005.115,,,2022-06-27 11:23:50,2022-06-27 11:23:53,3.124s,PASSED
"setText(findTestObject(""Page_It-Right Platform_GBS/Username""), username)",Chrome 102.0.5005.115,,,2022-06-27 11:23:53,2022-06-27 11:23:54,1.093s,PASSED
"setEncryptedText(findTestObject(""Page_It-Right Platform_GBS/password""), pwd)",Chrome 102.0.5005.115,,,2022-06-27 11:23:54,2022-06-27 11:23:55,0.787s,PASSED
"click(findTestObject(""Page_It-Right Platform_GBS/button_Sign in""))",Chrome 102.0.5005.115,,,2022-06-27 11:23:55,2022-06-27 11:23:58,2.736s,PASSED
"click(findTestObject(""Object Repository/Page_It-Right Platform_GBS/span_WelcomeToggler""))",Chrome 102.0.5005.115,,,2022-06-27 11:23:58,2022-06-27 11:23:58,0.539s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_It-Right Platform_GBS/div_WelcomeMenu""), 0)",Chrome 102.0.5005.115,,,2022-06-27 11:23:58,2022-06-27 11:23:59,0.617s,PASSED
"click(findTestObject(""Object Repository/Page_It-Right Platform_GBS/span_GBS""))",Chrome 102.0.5005.115,,,2022-06-27 11:23:59,2022-06-27 11:24:06,7.584s,PASSED
delay(2),Chrome 102.0.5005.115,,,2022-06-27 11:24:06,2022-06-27 11:24:08,2.008s,PASSED
"click(findTestObject(""Page_DIR_GBS/GBS Project/button_Technical Sourcing""))",Chrome 102.0.5005.115,,,2022-06-27 11:24:08,2022-06-27 11:24:09,0.853s,PASSED
"click(findTestObject(""Page_DIR_GBS/GBS Project/span_Flex_Organization""))",Chrome 102.0.5005.115,,,2022-06-27 11:24:09,2022-06-27 11:24:10,0.614s,PASSED
"selectOptionByValue(findTestObject(""Page_DIR_GBS/GBS Project/select_Organization""), ""FLEX"", true)",Chrome 102.0.5005.115,,,2022-06-27 11:24:10,2022-06-27 11:24:17,7.432s,PASSED
delay(2),Chrome 102.0.5005.115,,,2022-06-27 11:24:17,2022-06-27 11:24:19,2.017s,PASSED
"scrollToElement(findTestObject(""Page_DIR_GBS/GBS Project/i_Project-folder-open""), 2)",Chrome 102.0.5005.115,,,2022-06-27 11:24:19,2022-06-27 11:24:56,36.613s,FAILED
,,,,,,,
Test Cases/Checklist/GBS/AF_Review_RevertSave,Chrome 102.0.5005.115,,,2022-06-27 11:24:56,2022-06-27 11:29:59,5m - 3.282s,FAILED
"openBrowser("""")",Chrome 102.0.5005.115,,,2022-06-27 11:24:57,2022-06-27 11:25:00,2.993s,PASSED
maximizeWindow(),Chrome 102.0.5005.115,,,2022-06-27 11:25:00,2022-06-27 11:25:00,0.197s,PASSED
navigateToUrl(URL),Chrome 102.0.5005.115,,,2022-06-27 11:25:00,2022-06-27 11:25:04,3.978s,PASSED
"setText(findTestObject(""Page_It-Right Platform_GBS/Username""), username)",Chrome 102.0.5005.115,,,2022-06-27 11:25:04,2022-06-27 11:25:06,1.174s,PASSED
"setEncryptedText(findTestObject(""Page_It-Right Platform_GBS/password""), pwd)",Chrome 102.0.5005.115,,,2022-06-27 11:25:06,2022-06-27 11:25:06,0.619s,PASSED
"click(findTestObject(""Page_It-Right Platform_GBS/button_Sign in""))",Chrome 102.0.5005.115,,,2022-06-27 11:25:06,2022-06-27 11:25:08,2.229s,PASSED
"click(findTestObject(""Object Repository/Page_It-Right Platform_GBS/span_WelcomeToggler""))",Chrome 102.0.5005.115,,,2022-06-27 11:25:08,2022-06-27 11:25:09,0.522s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_It-Right Platform_GBS/div_WelcomeMenu""), 0)",Chrome 102.0.5005.115,,,2022-06-27 11:25:09,2022-06-27 11:25:10,0.639s,PASSED
"click(findTestObject(""Object Repository/Page_It-Right Platform_GBS/span_GBS""))",Chrome 102.0.5005.115,,,2022-06-27 11:25:10,2022-06-27 11:25:17,7.215s,PASSED
delay(2),Chrome 102.0.5005.115,,,2022-06-27 11:25:17,2022-06-27 11:25:19,2.012s,PASSED
"click(findTestObject(""Page_DIR_GBS/GBS Project/button_Technical Sourcing""))",Chrome 102.0.5005.115,,,2022-06-27 11:25:19,2022-06-27 11:25:19,0.683s,PASSED
"click(findTestObject(""Page_DIR_GBS/GBS Project/span_Flex_Organization""))",Chrome 102.0.5005.115,,,2022-06-27 11:25:19,2022-06-27 11:25:20,0.619s,PASSED
"selectOptionByValue(findTestObject(""Page_DIR_GBS/GBS Project/select_Organization""), ""FLEX"", true)",Chrome 102.0.5005.115,,,2022-06-27 11:25:20,2022-06-27 11:26:26,1m - 5.551s,PASSED
delay(2),Chrome 102.0.5005.115,,,2022-06-27 11:26:26,2022-06-27 11:26:28,2.009s,PASSED
"scrollToElement(findTestObject(""Page_DIR_GBS/GBS Project/i_Project-folder-open""), 2)",Chrome 102.0.5005.115,,,2022-06-27 11:26:28,2022-06-27 11:29:59,3m - 31.542s,FAILED
,,,,,,,
Test Cases/Sanity/GBS/AF_Export_Dashboard,Chrome 102.0.5005.115,AF_Export,,2022-06-27 11:29:59,2022-06-27 11:36:05,6m - 6.049s,FAILED
"openBrowser("""")",Chrome 102.0.5005.115,,,2022-06-27 11:30:00,2022-06-27 11:30:03,2.886s,PASSED
maximizeWindow(),Chrome 102.0.5005.115,,,2022-06-27 11:30:03,2022-06-27 11:30:04,0.205s,PASSED
navigateToUrl(URL),Chrome 102.0.5005.115,,,2022-06-27 11:30:04,2022-06-27 11:30:08,4.145s,PASSED
"setText(findTestObject(""Page_It-Right Platform_GBS/Username""), username)",Chrome 102.0.5005.115,,,2022-06-27 11:30:08,2022-06-27 11:30:09,1.126s,PASSED
"setEncryptedText(findTestObject(""Page_It-Right Platform_GBS/password""), pwd)",Chrome 102.0.5005.115,,,2022-06-27 11:30:09,2022-06-27 11:30:10,0.880s,PASSED
"click(findTestObject(""Page_It-Right Platform_GBS/button_Sign in""))",Chrome 102.0.5005.115,,,2022-06-27 11:30:10,2022-06-27 11:30:13,3.164s,PASSED
"click(findTestObject(""Object Repository/Page_It-Right Platform_GBS/span_WelcomeToggler""))",Chrome 102.0.5005.115,,,2022-06-27 11:30:13,2022-06-27 11:30:13,0.633s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_It-Right Platform_GBS/div_WelcomeMenu""), 0)",Chrome 102.0.5005.115,,,2022-06-27 11:30:13,2022-06-27 11:30:14,0.595s,PASSED
"click(findTestObject(""Object Repository/Page_It-Right Platform_GBS/span_GBS""))",Chrome 102.0.5005.115,,,2022-06-27 11:30:14,2022-06-27 11:30:19,5.213s,PASSED
"click(findTestObject(""Object Repository/Page_DIR_GBS/GBS Project/div_Technical Sourcing""))",Chrome 102.0.5005.115,,,2022-06-27 11:30:19,2022-06-27 11:30:22,2.422s,PASSED
"click(findTestObject(""Object Repository/Page_DIR_GBS/GBS Project/span_Flex""))",Chrome 102.0.5005.115,,,2022-06-27 11:30:22,2022-06-27 11:30:22,0.528s,PASSED
